a-link-normal href 2,s-image src,a-size-base-plus,a-price
https://www.amazon.es/Lenovo-Legion-Y530-Ordenador-operativo/dp/B07J9VXYL3/ref=sr_1_589?qid=1640827208&s=computers&sr=1-589,https://m.media-amazon.com/images/I/61-sRTA0+ZL._AC_UL320_.jpg,"Lenovo Legion Y530 - Ordenador portátil gaming 15.6"" FullHD (Intel Core i5-8300H, 8GB de RAM, 1TB HDD, Nvidia GTX1050 de 4GB, Sin sistema operativo) negro. Teclado QWERTY español",
https://www.amazon.es/Ordenador-port%C3%A1til-Pulgadas-Windows-expansi%C3%B3n/dp/B09KXR7N1W/ref=sr_1_590?qid=1640827208&s=computers&sr=1-590,https://m.media-amazon.com/images/I/61VjNYm7LAL._AC_UL320_.jpg,"Jumper Ordenador portátil Full HD de 13.3 Pulgadas, 8GB + 128GB, Windows 10, Intel Celeron N4100, WiFi de Doble Banda, Admite hasta 512GB SSD y 256GB TF de expansión de Memoria, 1kg, 1.15cm, Type-C",
https://www.amazon.es/Chromebook-CTL-NL71T-Transporte-Actualizaciones/dp/B09984R6HK/ref=sr_1_591?qid=1640827208&s=computers&sr=1-591,https://m.media-amazon.com/images/I/71OFGZbCr4L._AC_UL320_.jpg,"Chromebook CTL NL71T 360 (Intel® Gemini Lake® R N4020, 4GBDDR4/32eMMC, Doble Cámara, 2xUSB C, Asa de Transporte, Actualizaciones de Google hasta Junio 2026"")",
https://www.amazon.es/BMAX-X15-Ordenador-port%C3%A1til-ordenador/dp/B08DNNX2L2/ref=sr_1_592?qid=1640827208&s=computers&sr=1-592,https://m.media-amazon.com/images/I/6172ETZ6snL._AC_UL320_.jpg,"Ordenador portátil BMAX X15 de 15,6 pulgadas Celeron Gemini Lake N4120 (hasta 2,6 GHz) 8 GB RAM + 256 GB SSD Windows 10 Laptop Wifi, USB3.0, Wifi, BT 4.2, Cámara",
https://www.amazon.es/AOPEN-MINIPC-ME57U-I3-7130-128SSD/dp/B081JNVXYM/ref=sr_1_593?qid=1640827208&s=computers&sr=1-593,https://m.media-amazon.com/images/I/610fltMiZXL._AC_UL320_.jpg,MINIPC ME57U I3-7130 4GB 128SSD W10,
https://www.amazon.es/HP-INFORMATIQUE/dp/B0979F16MD/ref=sr_1_594?qid=1640827208&s=computers&sr=1-594,https://m.media-amazon.com/images/I/819ENhGu-4S._AC_UL320_.jpg,INFORMATIQUE,
https://www.amazon.es/LG-17Z90N-V-AA55G-Ordenador-Generaci%C3%B3n-DDR4-SDRAM/dp/B087MY3M1Z/ref=sr_1_595?qid=1640827208&s=computers&sr=1-595,https://m.media-amazon.com/images/I/71TWcqClVHS._AC_UL320_.jpg,"LG gram 17Z90N-V.AA55G - 43,18 cm (17"") - Core i5 1035G7 - 8 GB RAM - 512 GB SSD",
https://www.amazon.es/Dell-Latitude-pulgadas-i5-6300U-Professional/dp/B082P7WS1Z/ref=sr_1_596?qid=1640827208&s=computers&sr=1-596,https://m.media-amazon.com/images/I/51kg2OwebNL._AC_UL320_.jpg,"Dell Latitude E7270 12,5"" Core i5-6300U 8 GB 128 GB SSD Webcam HDMI WiFi BT Windows 10 Professional Laptop PC (renovado)",
https://www.amazon.es/Ordenador-port%C3%A1til-Pulgadas-Netbook-Sistema/dp/B08ZYT9L92/ref=sr_1_597?qid=1640827208&s=computers&sr=1-597,https://m.media-amazon.com/images/I/518YRBMzjPL._AC_UL320_.jpg,"Ordenador portátil de 10,1 Pulgadas Mini Netbook Sistema Android 7.1 2GB RAM + 16GB ROM Ordenador portátil CPU de Cuatro núcleos PC HDMI WiFi USB (Azul)",
https://www.amazon.es/s?i=computers&rh=n%3A938008031&fs=true&page=25&qid=1640827154&ref=sr_pg_24#,https://m.media-amazon.com/images/I/719vIKTyr6L._AC_UL320_.jpg,"Portátil Dell Inspiron 15 3501 de 15,6 pulgadas, procesador Intel Core i5-1135G7 (4,2 GHz), pantalla FHD de borde estrecho antirreflectante, RAM de 8 GB, SSD","679,00€"
https://www.amazon.es/s?i=computers&rh=n%3A938008031&fs=true&page=25&qid=1640827154&ref=sr_pg_24#,https://m.media-amazon.com/images/I/718w5vQW-mS._AC_UL320_.jpg,"Dell Portátil 2 en 1Inspiron 14 5410 de 14 Pulgadas, procesador Intel Core i5-1135G7, Pantalla WVA FHD Truelife táctil de Borde Estrecho, RAM de 8 GB, SSD NVMe de 256 GB y Win10 Home",
https://www.amazon.es/s?i=computers&rh=n%3A938008031&fs=true&page=25&qid=1640827154&ref=sr_pg_24#,https://m.media-amazon.com/images/I/71FTj4vUv2L._AC_UL320_.jpg,"Jumper Portátil 14 pulgadas, 16GB DDR4 256GB SSD, Intel Core i3 Laptop 2.4 GHz, Windows 10, Cámara HD, 2.4G/5G WiFi, BT4.0, HDMI, USB 3.0, Tipo-C, 256GB Expansión de tarjeta TF, Teclado QWERTY Español","499,99€"
https://www.amazon.es/ASUS-ROG-Strix-G712LV-H7077-i7-10750H/dp/B08WKNDV8T/ref=sr_1_601?qid=1640827208&s=computers&sr=1-601,https://m.media-amazon.com/images/I/71ZPollXXtL._AC_UL320_.jpg,"ASUS ROG Strix G712LV-H7077 - Portátil gaming de 17.3"" FullHD 120Hz (Intel Core i7-10750H, 32GB RAM, 1TB SSD, NVIDIA RTX 2060-6GB, Sin SO) Black - Teclado QWERTY español",
https://www.amazon.es/ASUS-GA502IV-HN020-ROG-Zephyrus-G15/dp/B087GMG3MV/ref=sr_1_602?qid=1640827208&s=computers&sr=1-602,https://m.media-amazon.com/images/I/51JyQP5n21L._AC_UL320_.jpg,"ASUS ROG Zephyrus G15 GA502IV-HN020 - Ordenador portátil Gaming 15,6"" FullHD 144Hz (Ryzen 7 4800HS, 16GB RAM, 512GB SSD, NVIDIA RTX2060-6GB, Sin sistema operativo) Negro - Teclado QWERTY español",
https://www.amazon.es/Brydge-Teclado-QWERTY-Ingl%C3%A9s-Bluetooth/dp/B07MSFMCSZ/ref=sr_1_603?qid=1640827208&s=computers&sr=1-603,https://m.media-amazon.com/images/I/61bS27KXRvL._AC_UL320_.jpg,"Brydge Pro 12.9 teclado para móvil Plata QWERTY Inglés Bluetooth - Teclados para móviles (Plata, Aluminio, Apple, iPad Pro, 32,8 cm (12.9""), QWERTY)",
https://www.amazon.es/HP-EliteBook-840-Ordenador-Professional/dp/B081TDKFB3/ref=sr_1_604?qid=1640827208&s=computers&sr=1-604,https://m.media-amazon.com/images/I/4170EVwFlhL._AC_UL320_.jpg,"HP EliteBook 840 G1 - Ordenador portátil (14"" HD+, Intel Core i5-4300U, 2 x 1,90 GHz, 8 GB de RAM, 500 GB de disco duro, Bluetooth, USB 3.0, HD, webcam Windows 7 Professional, incluye funda)",
